miRNA gene ID (HUGO);additional_alias
MIRLET7A1;MIRLET7A
MIRLET7A2;MIRLET7A
MIRLET7A3;MIRLET7A
MIRLET7F1;MIRLET7F
MIRLET7F2;MIRLET7F
MIR101-1;MIR101
MIR101-2;MIR101
MIR103A1;MIR103A
MIR103A2;MIR103A
MIR103B1;MIR103B
MIR103B2;MIR103B
MIR105-1;MIR105
MIR105-2;MIR105
MIR1-1;MIR1
MIR1184-1;MIR1184
MIR1184-2;MIR1184
MIR1184-3;MIR1184
MIR1185-1;MIR1185
MIR1185-2;MIR1185
MIR1-2;MIR1
MIR1233-1;MIR1233
MIR1233-2;MIR1233
MIR124-1;MIR124
MIR124-2;MIR124
MIR124-3;MIR124
MIR1244-1;MIR1244
MIR1244-2;MIR1244
MIR1244-3;MIR1244
MIR1244-4;MIR1244
MIR1255B1;MIR1255B
MIR1255B2;MIR1255B
MIR125B1;MIR125B
MIR125B2;MIR125B
MIR128-1;MIR128
MIR128-2;MIR128
MIR1283-1;MIR1283
MIR1283-2;MIR1283
MIR1285-1;MIR1285
MIR1285-2;MIR1285
MIR1289-1;MIR1289
MIR1289-2;MIR1289
MIR129-1;MIR129
MIR129-2;MIR129
MIR1302-1;MIR1302
MIR1302-10;MIR1302
MIR1302-11;MIR1302
MIR1302-2;MIR1302
MIR1302-3;MIR1302
MIR1302-4;MIR1302
MIR1302-5;MIR1302
MIR1302-6;MIR1302
MIR1302-7;MIR1302
MIR1302-8;MIR1302
MIR1302-9;MIR1302
MIR133A1;MIR133A
MIR133A2;MIR133A
MIR135A1;MIR135A
MIR135A2;MIR135A
MIR138-1;MIR138
MIR138-2;MIR138
MIR153-1;MIR153
MIR153-2;MIR153
MIR16-1;MIR16
MIR16-2;MIR16
MIR181A1;MIR181A
MIR181A2;MIR181A
MIR181B1;MIR181B
MIR181B2;MIR181B
MIR194-1;MIR194
MIR194-2;MIR194
MIR196A1;MIR196A
MIR196A2;MIR196A
MIR1972-1;MIR1972
